Image ID,Color Rating,Contrast Rating,Shape Rating,Overall Rating
0,2,2,5,3
1,4,4,7,6
2,3,5,8,6
3,2,1,5,4
4,2,4,6,4
5,9,3,5,7
6,9,7,9,8
7,7,9,8,8
8,8,6,6,9
9,3,6,9,6
10,2,1,1,2
11,3,6,8,7
12,4,7,9,8
13,6,8,9,8
14,4,2,5,4
15,4,7,5,6
16,5,8,6,6
17,4,5,8,6
18,2,5,7,4
19,5,8,4,6
20,2,6,5,4
21,7,10,5,8
22,3,2,4,4
23,2,2,4,3
24,6,5,8,7
25,4,7,8,5
26,3,5,5,5
27,5,6,7,6
28,4,8,7,6
29,4,10,7,8
30,4,6,7,6
31,2,4,6,4
32,7,8,6,7
33,3,3,5,4
34,6,7,7,7
35,6,5,4,5
36,2,1,5,3
37,4,6,7,6
38,4,6,7,6
39,2,3,6,3
40,4,3,7,5
41,2,8,9,7
42,3,6,8,7
43,6,5,9,7
44,2,4,3,3
45,5,7,3,7
46,3,7,5,4
47,6,8,10,8
48,4,5,9,7
49,4,10,6,7
50,7,3,7,5
